,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Amphitrite_Point_-_Average_Monthly_Sea_Surface_Temperatures_1934-2023.csv,8.1,8.128,8.637,9.899000000000001,11.183666666666662,12.035000000000002,13.097333333333333,13.722666666666665,13.292000000000002,11.785666666666666,10.071666666666667,8.677
Bonilla_Island_-_Average_Monthly_Sea_Surface_Temperatures_1960-2023.csv,6.968666666666666,6.827333333333333,6.996666666666667,8.084333333333333,9.665517241379309,11.264999999999999,12.351034482758621,12.555172413793104,12.254,10.789333333333332,8.936333333333334,7.626
Chrome_Island_-_Average_Monthly_Sea_Surface_Temperatures_1961-2022.csv,7.895333333333332,7.831000000000001,8.385,9.806896551724137,12.942413793103446,15.626785714285715,17.927931034482757,18.01137931034483,15.204482758620692,11.91758620689655,9.815333333333335,8.483
Departure_Bay_PBS_-_Average_Monthly_Sea_Surface_Temperatures_1914-2023.csv,6.908,7.006666666666665,7.819333333333332,9.528333333333334,12.706999999999999,15.521034482758617,17.529999999999998,17.55666666666667,15.044000000000002,11.56166666666667,9.053333333333335,7.464333333333333
Egg_Island_-_Average_Monthly_Sea_Surface_Temperatures_1970-2023.csv,7.552999999999999,7.4369999999999985,7.708666666666668,8.668333333333333,10.444827586206898,12.074333333333334,13.116999999999999,12.982758620689657,11.4275,10.155714285714284,8.937586206896551,8.011333333333335
Entrance_Island_-_Average_Monthly_Sea_Surface_Temperatures_1936-2023.csv,7.2892857142857155,7.428928571428569,8.11896551724138,9.858620689655174,12.969629629629628,15.923214285714282,17.940714285714286,18.283571428571427,15.621111111111112,11.926666666666668,9.531,7.994999999999999
Kains_Island_-_Average_Monthly_Sea_Surface_Temperatures_1935-2023.csv,7.959999999999999,7.886999999999999,8.205,9.285333333333332,10.807333333333334,12.248333333333331,13.400333333333332,13.983333333333329,13.583666666666666,11.632666666666665,9.717666666666668,8.526
Langara_Island_-_Average_Monthly_Sea_Surface_Temperatures_1936-2023.csv,7.041724137931035,6.852,6.804137931034484,7.5321428571428575,8.58206896551724,9.980689655172414,11.334827586206893,12.086896551724136,12.221666666666668,10.92633333333333,9.114,7.727931034482759
McInnes_Island_-_Average_Monthly_Sea_Surface_Temperatures_1954-2023.csv,7.05103448275862,6.9893103448275875,7.295185185185183,8.31153846153846,10.073703703703703,11.836538461538462,13.1,13.47148148148148,12.830740740740739,10.840666666666667,8.716071428571427,7.40551724137931
Nootka_Point_-_Average_Monthly_Sea_Surface_Temperatures_1934-2023.csv,7.189666666666667,7.374666666666666,8.107,9.976206896551727,12.387241379310346,14.328333333333331,15.790666666666668,16.55034482758621,15.081724137931037,12.108333333333333,9.264666666666667,7.615333333333333
Pine_Island_-_Average_Monthly_Sea_Surface_Temperatures_1937-2023.csv,7.862222222222222,7.874999999999999,7.955333333333334,8.595862068965518,9.451034482758622,10.029999999999998,10.579333333333333,10.735517241379311,10.450689655172415,10.101000000000003,9.348275862068967,8.413214285714284
Race_Rocks_-_Average_Monthly_Sea_Surface_Temperatures_1921-2023.csv,7.914,7.8982758620689655,8.283448275862069,8.962333333333335,9.930333333333332,10.642333333333335,11.329,11.624333333333333,11.27266666666667,10.333999999999998,9.244333333333332,8.379
